headline,date,url
"Nods to Casual, Chic and Carpet",2014-01-10,https://www.nytimes.com/2014/01/10/fashion/In-London-Nods-to-Casual-Chic-and-Carpet.html
Little Change in Market on Eve of Jobs Report,2014-01-10,https://www.nytimes.com/2014/01/10/business/daily-stock-market-activity.html
"For Couples Split by Distance, Two Screens Can Blink as One",2014-01-10,https://www.nytimes.com/2014/01/10/arts/television/for-couples-split-by-distance-two-screens-can-blink-as-one.html
French Court Says Fugitive Kazakh Banker Can Be Extradited,2014-01-10,https://www.nytimes.com/2014/01/10/world/europe/fugitive-kazakh-banker-mukhtar-ablyazov.html
Ombudswoman for I.R.S. Tells Congress It Needs More Funding to Aid Its Work,2014-01-10,https://www.nytimes.com/2014/01/10/business/irs-cites-a-need-for-more-funding-in-annual-report-to-congress.html
Eileen Martinson of Sparta Systems on Clarity of Leadership,2014-01-10,https://www.nytimes.com/2014/01/10/business/eileen-martinson-of-sparta-systems-on-clarity-of-leadership.html
"Mikaela Shiffrin’s Swift, if Unplanned, Ascent to World Champion",2014-01-10,https://www.nytimes.com/2014/01/10/sports/mikaela-shiffrins-swift-if-unplanned-ascent-to-world-champion.html
Germany to Help in Disposal of Syrian Chemical Weapons,2014-01-10,https://www.nytimes.com/2014/01/10/world/europe/germany-syrian-chemical-weapons.html
Blast in Pakistan Kills Senior Police Official,2014-01-10,https://www.nytimes.com/2014/01/10/world/asia/pakistan.html
Wheelies: The Vice Presidential Auto Show Edition,2014-01-10,https://www.nytimes.com/2014/01/10/automobiles/wheelies-the-vice-presidential-auto-show-edition.html
"As Iran Nuclear Talks Resume, Ayatollah Criticizes U.S.",2014-01-10,https://www.nytimes.com/2014/01/10/world/middleeast/iran.html
How Did You Motivate Your Hibernating Teenager to Stay Healthy in Winter?,2014-01-10,https://www.nytimes.com/2014/01/10/booming/how-did-you-motivate-your-hibernating-teenager-to-stay-healthy-in-winter.html
Mercedes-Benz to Reveal AMG-Tuned GLA45 and Concept S-Class Coupe in Detroit,2014-01-10,https://www.nytimes.com/2014/01/10/automobiles/mercedes-benz-to-reveal-amg-tuned-gla45-and-concept-s-class-coupe-in-detroit.html
"After Apparent Food Stamp Deal, Dairy Rift Moves to Fore in Farm Bill Talks",2014-01-10,https://www.nytimes.com/2014/01/10/us/politics/farm-bill-talks-hit-snag-on-dairy-and-catfish-programs.html
E.U. Panel Invites Snowden to Testify on Privacy Breaches,2014-01-10,https://www.nytimes.com/2014/01/10/world/europe/eu-panel-invites-snowden.html
Discovery of Bombs and Corpses Rattles Tense Caucasus Region,2014-01-10,https://www.nytimes.com/2014/01/10/world/europe/caucasus-region.html
Bomber in Iraq Kills 22 Recruits Seeking to Fight Al Qaeda,2014-01-10,https://www.nytimes.com/2014/01/10/world/middleeast/iraq.html
Woman Says Lane Closings Were Not to Blame for Her Mother’s Death,2014-01-10,https://www.nytimes.com/2014/01/10/nyregion/woman-says-lane-closings-were-not-to-blame-for-her-mothers-death.html
Claim Against Indian Diplomat Has Echoes of Previous Cases,2014-01-10,https://www.nytimes.com/2014/01/10/nyregion/claims-of-diplomats-mistreating-household-staff-are-far-from-the-first.html
"Tunisia’s Premier Resigns, Formally Ending His Party’s Rule",2014-01-10,https://www.nytimes.com/2014/01/10/world/middleeast/tunisias-leader-resigns.html
Chrysler Announces Mopar Custom Shop Display for Detroit,2014-01-10,https://www.nytimes.com/2014/01/10/automobiles/chrysler-annouces-mopar-custom-shop-display-for-detroit.html
"With Release of Prisoners, Afghan Leader Again Defies U.S. Wishes",2014-01-10,https://www.nytimes.com/2014/01/10/world/asia/afghanistan-to-free-prisoners.html
JPMorgan Lost Madoff in a Blizzard of Paper,2014-01-10,https://www.nytimes.com/2014/01/10/business/madoffs-trail-lost-in-a-blizzard-of-paper.html
"Old Breakfast Buddies, From Tarzan to Snoopy",2014-01-10,https://www.nytimes.com/2014/01/10/books/sunday-comics-glory-days-from-dark-horse-fantagraphics.html
A Sweet History: Doughnuts in New York City,2014-01-10,https://www.nytimes.com/2014/01/10/nyregion/a-sweet-history-doughnuts-in-new-york-city.html
National Park Proves a Hard Gift to Give,2014-01-10,https://www.nytimes.com/2014/01/10/us/a-national-park-for-maine-proves-a-hard-gift-to-give.html
"Early Chekhov, Framed Anew",2014-01-10,https://www.nytimes.com/2014/01/10/theater/platonov-or-the-disinherited-at-the-kitchen.html
"After Being Indicted, Diplomat Is Allowed to Leave the Country",2014-01-10,https://www.nytimes.com/2014/01/10/nyregion/indian-diplomat-indicted-in-employment-case.html
Civil War Archive to Go on Sale,2014-01-10,https://www.nytimes.com/2014/01/10/arts/design/civil-war-archive-to-go-on-sale.html
Philadelphia Museum Lands a Major Gift,2014-01-10,https://www.nytimes.com/2014/01/10/arts/design/philadelphia-museum-lands-a-major-gift.html
Marvin Bileck: ‘Thimbledon Bridge’ and Emily Nelligan: ‘Drawings’,2014-01-10,https://www.nytimes.com/2014/01/10/arts/design/marvin-bileck-thimbledon-bridge-and-emily-nelligan-drawings.html
Panel Recommends Transferring Yemeni From Guantánamo,2014-01-10,https://www.nytimes.com/2014/01/10/us/panel-recommends-transferring-yemeni-from-guantanamo.html
‘Para-Real’,2014-01-10,https://www.nytimes.com/2014/01/10/arts/design/para-real.html
Lucy Dodd: ‘Cake 4 Catfish’,2014-01-10,https://www.nytimes.com/2014/01/10/arts/design/lucy-dodd-cake-4-catfish.html
Sarah Crowner: ‘The Wave’,2014-01-10,https://www.nytimes.com/2014/01/10/arts/design/sarah-crowner-the-wave.html
Anke Weyer: ‘Du’,2014-01-10,https://www.nytimes.com/2014/01/10/arts/design/anke-weyer-du.html
Looking Again at That Mars-Venus Thing,2014-01-10,https://www.nytimes.com/2014/01/10/arts/television/girls-returns-and-looking-will-debut-on-hbo.html
Beyond Beefcake in the Work of a Gay Pioneer,2014-01-10,https://www.nytimes.com/2014/01/10/arts/design/devotion-excavating-bob-mizer-at-nyus-80wse.html
At Issue in 2 Wrenching Cases: What to Do After the Brain Dies,2014-01-10,https://www.nytimes.com/2014/01/10/health/the-science-behind-brain-death.html
"Amiri Baraka, Polarizing Poet and Playwright, Dies at 79",2014-01-10,https://www.nytimes.com/2014/01/10/arts/amiri-baraka-polarizing-poet-and-playwright-dies-at-79.html
Christie and the Bridge Scandal,2014-01-10,https://www.nytimes.com/2014/01/10/opinion/christie-and-the-bridge-scandal.html
"Punk, Skirts, Balaclavas: A Russian Revolution",2014-01-10,https://www.nytimes.com/2014/01/10/books/masha-gessens-words-will-break-cement.html
Obama Announces ‘Promise Zones’ in 5 Poor Areas,2014-01-10,https://www.nytimes.com/2014/01/10/us/politics/obama-announces-promise-zones-in-5-stricken-areas.html
"Gillespie, Former Republican Chairman, Readies to Run for Senate in Virginia",2014-01-10,https://www.nytimes.com/2014/01/10/us/politics/gillespie-former-gop-chairman-readies-for-senate-run-in-virginia.html
Designing the Next Wave of Computer Chips,2014-01-10,https://www.nytimes.com/2014/01/10/science/designing-the-next-wave-of-computer-chips.html
"No Barbershops Here, Nor Violins or Cellos",2014-01-10,https://www.nytimes.com/2014/01/10/arts/dance/heather-kravass-a-quartet-in-a-new-york-premiere.html
Shifting His Tectonic Plates,2014-01-10,https://www.nytimes.com/2014/01/10/arts/design/richard-serra-at-the-gagosian-gallery.html
Celebrating Age as Well as Attitude at a Record Label’s Anniversary Party,2014-01-10,https://www.nytimes.com/2014/01/10/arts/music/celebrating-blue-note-records-at-town-hall.html
Ford Looks to Fiesta to Increase Sales in Japanese Market,2014-01-10,https://www.nytimes.com/2014/01/10/business/international/ford-looks-to-fiesta-to-increase-meager-sales-in-japan.html
A Band of Brothers and Oddballs,2014-01-10,https://www.nytimes.com/2014/01/10/arts/television/enlisted-a-fox-sitcom-set-on-an-army-base-in-florida.html
Alcoa to Pay $384 Million to Settle Bribery Charges,2014-01-10,https://www.nytimes.com/2014/01/10/business/alcoa-to-pay-384-million-to-settle-bribery-charges.html
Unfinished Works,2014-01-10,https://www.nytimes.com/slideshow/2014/01/10/arts/design/20130110-UNFINISHED.html
The Fascination of the Unfinished,2014-01-10,https://www.nytimes.com/2014/01/10/arts/design/the-fascination-of-the-unfinished.html
"Gabriel Snyder, Former Editor of The Wire, Joins Mobile News Start-Up",2014-01-10,https://www.nytimes.com/2014/01/10/business/media/gabriel-snyder-former-editor-of-the-wire-joins-mobile-news-start-up.html
Theater Listings for Jan. 10-16,2014-01-10,https://www.nytimes.com/2014/01/10/theater/theater-listings-for-jan-10-16.html
Agency to Stream a Daily Show About the Sundance Festival,2014-01-10,https://www.nytimes.com/2014/01/10/business/media/agency-to-stream-a-daily-show-about-the-sundance-festival.html
"Half of Congress Members Are Millionaires, Report Says ",2014-01-10,https://www.nytimes.com/2014/01/10/us/politics/more-than-half-the-members-of-congress-are-millionaires-analysis-finds.html
Comedy Listings for Jan. 10-16,2014-01-10,https://www.nytimes.com/2014/01/10/arts/comedy-listings-for-jan-10-16.html
Movie Listings for Jan. 10-16,2014-01-10,https://www.nytimes.com/2014/01/10/arts/movie-listings-for-jan-10-16.html
How Should We Understand Palestinian Actions?,2014-01-10,https://www.nytimes.com/2014/01/10/opinion/how-should-we-understand-palestinian-actions.html
The Sudan Conflict and Disease,2014-01-10,https://www.nytimes.com/2014/01/10/opinion/the-sudan-conflict-and-disease.html
Just Being Top Nominee Can Be a Prize,2014-01-10,https://www.nytimes.com/2014/01/10/movies/awardsseason/oscar-2014s-top-nominee-might-not-win-best-picture.html
Pop and Rock Listings for Jan. 10-16,2014-01-10,https://www.nytimes.com/2014/01/10/arts/music/pop-and-rock-listings-for-jan-10-16.html
Giants’ David Wilson to Have Neck Surgery,2014-01-10,https://www.nytimes.com/2014/01/10/sports/football/giants-david-wilson-to-have-neck-surgery.html
No More Hall of Fame Votes for Dan Le Batard,2014-01-10,https://www.nytimes.com/2014/01/10/sports/baseball/no-more-hall-of-fame-votes-for-dan-le-batard.html
Jazz Listings for Jan. 10-16,2014-01-10,https://www.nytimes.com/2014/01/10/arts/music/jazz-listings-for-jan-10-16.html
New Estimate Sharply Raises Death Toll in South Sudan,2014-01-10,https://www.nytimes.com/2014/01/10/world/africa/new-estimate-sharply-raises-death-toll-in-south-sudan.html
"Rev. Robert Nugent, Priest Who Counseled Gay Catholics, Dies at 76",2014-01-10,https://www.nytimes.com/2014/01/10/us/rev-robert-nugent-priest-who-counseled-gay-catholics-dies-at-76.html
Opera and Classical Music Listings for Jan. 10-16,2014-01-10,https://www.nytimes.com/2014/01/10/arts/music/opera-and-classical-music-listings-for-jan-10-16.html
Dance Listings for Jan. 10-16,2014-01-10,https://www.nytimes.com/2014/01/10/arts/dance/dance-listings-for-jan-10-16.html
The War Over Poverty,2014-01-10,https://www.nytimes.com/2014/01/10/opinion/krugman-the-war-over-poverty.html
"To Congestion-Bound New Jerseyans, Messing With Traffic May Be Ultimate Sin",2014-01-10,https://www.nytimes.com/2014/01/10/nyregion/in-new-jersey-the-ultimate-sin-messing-with-traffic.html
Museum and Gallery Listings for Jan. 10-16,2014-01-10,https://www.nytimes.com/2014/01/10/arts/design/museum-and-gallery-listings-for-jan-10-16.html
"Even as Wages Rise, China Exports Grow ",2014-01-10,https://www.nytimes.com/2014/01/10/business/international/chinese-exports-withstand-rising-labor-costs.html
A Race for More Than the Mayor of Istanbul,2014-01-10,https://www.nytimes.com/2014/01/10/world/europe/a-race-for-more-than-the-mayor-of-istanbul.html
A Proposal to Speed Up Action on Trade Accords,2014-01-10,https://www.nytimes.com/2014/01/10/business/a-proposal-to-give-obama-more-say-on-trade-accords.html
Japanese Begin to Question Protections Given to Homegrown Rice,2014-01-10,https://www.nytimes.com/2014/01/10/business/international/japanese-begin-to-question-rices-sacred-place.html
French Far-Right Leader Aims for E.U. Parliament,2014-01-10,https://www.nytimes.com/2014/01/10/world/europe/french-far-right-leader-aims-for-eu-parliament.html
City Study Tracks Transfers by Charter School Students,2014-01-10,https://www.nytimes.com/2014/01/10/nyregion/study-tracks-transfers-by-students-at-charters.html
"With Surplus in Hand, California Eyes Debt",2014-01-10,https://www.nytimes.com/2014/01/10/us/with-surplus-in-hand-california-eyes-debt.html
Jay Gruden Is New Coach of Redskins,2014-01-10,https://www.nytimes.com/2014/01/10/sports/football/nfl-roundup.html
Spare Times for Jan. 10-16,2014-01-10,https://www.nytimes.com/2014/01/10/arts/spare-times-for-jan-10-16.html
More U.S. Economists See Half-Full Glass,2014-01-10,https://www.nytimes.com/2014/01/10/business/economy/more-economists-see-a-half-full-glass.html
"Rev. Vincent J. Termine, Pastor Who Fought Racism in His Parish, Dies at 93",2014-01-10,https://www.nytimes.com/2014/01/10/nyregion/rev-vincent-j-termine-pastor-who-fought-racism-in-his-parish-dies-at-93.html
Call to Honor Pakistani Boy in Fatal Tackle of a Bomber,2014-01-10,https://www.nytimes.com/2014/01/10/world/asia/call-to-honor-pakistani-boy-in-fatal-tackle-of-a-bomber.html
"Silver Thief Is Charged With Burglary, Again",2014-01-10,https://www.nytimes.com/2014/01/10/us/silver-thief-is-charged-with-burglary-again.html
Spare Times for Children for Jan. 10-16,2014-01-10,https://www.nytimes.com/2014/01/10/arts/spare-times-for-children-for-jan-10-16.html
Awards Shows Help Clark Productions Bounce Back,2014-01-10,https://www.nytimes.com/2014/01/10/business/media/awards-shows-bring-clark-firm-bouncing-back.html
"For Greg Maddux, an Unassuming Presence Masked a Master of the Pitching Craft",2014-01-10,https://www.nytimes.com/2014/01/10/sports/baseball/for-greg-maddux-an-unassuming-presence-masked-a-master-of-the-pitching-craft.html
"Thomas V. Jones, Builder of Northrop Into Big Military Contractor, Dies at 93",2014-01-10,https://www.nytimes.com/2014/01/10/business/thomas-v-jones-builder-of-northrop-into-big-military-contractor-dies-at-93.html
Obama Seeks Balance in Plan for Spy Programs,2014-01-10,https://www.nytimes.com/2014/01/10/us/obama-seeks-balance-in-plan-for-spy-programs.html
U.S. Mission in South Sudan Shows Limits of Military,2014-01-10,https://www.nytimes.com/2014/01/10/world/africa/us-mission-in-south-sudan-shows-limits-of-military.html
Sears’s Sales Fell 9.2% in Tepid Holiday Season,2014-01-10,https://www.nytimes.com/2014/01/10/business/searss-sales-fell-9-2-in-tepid-holiday-season.html
Understanding New Rules That Widen Mental Health Coverage,2014-01-10,https://www.nytimes.com/2014/01/10/your-money/understanding-new-rules-that-widen-mental-health-coverage.html
"Robert Hess, 57, Dies; Led Homeless Services Under Bloomberg",2014-01-10,https://www.nytimes.com/2014/01/10/nyregion/robert-hess-who-helped-homeless-people-dies-at-57.html
Movement on the Right,2014-01-10,https://www.nytimes.com/2014/01/10/opinion/brooks-movement-on-the-right.html
"Government Owes 30,000 Indians Royalties for Land but Can’t Find Them",2014-01-10,https://www.nytimes.com/2014/01/10/us/government-owes-30000-indians-royalties-for-land-but-cant-find-them.html
Not So Entertaining,2014-01-10,https://www.nytimes.com/2014/01/10/opinion/chris-christie-not-so-entertaining.html
Why Bankers Have Gotten a Pass,2014-01-10,https://www.nytimes.com/2014/01/10/opinion/why-bankers-have-gotten-a-pass.html
Polio Vaccination Effort in Syria Appears to Have Some Effect,2014-01-10,https://www.nytimes.com/2014/01/10/world/middleeast/polio-in-syria-is-said-to-be-under-control.html
Syria Militants Said to Recruit Visiting Americans to Attack U.S.,2014-01-10,https://www.nytimes.com/2014/01/10/world/middleeast/syrian-groups-try-to-recruit-us-travelers.html
Knicks and Heat Offer a Contrast in Franchises and Stars,2014-01-10,https://www.nytimes.com/2014/01/10/sports/basketball/knicks-and-heat-offer-a-contrast-in-franchises-and-stars.html
Fitful Progress in the Antismoking Wars,2014-01-10,https://www.nytimes.com/2014/01/10/opinion/fitful-progress-in-the-antismoking-wars.html
After Chris Christie’s Performance,2014-01-10,https://www.nytimes.com/2014/01/10/opinion/after-chris-christies-performance.html
Sexual Assault Case Yields a Plea Deal in Missouri,2014-01-10,https://www.nytimes.com/2014/01/10/us/sexual-assault-case-yields-a-plea-deal-in-missouri.html
"Pretty, Yes, but for Boats, Ice Can Be a Menace",2014-01-10,https://www.nytimes.com/2014/01/10/nyregion/pretty-yes-but-for-boats-ice-can-be-a-menace.html
Reid’s Uncompromising Power Play in Senate Rankles Republicans,2014-01-10,https://www.nytimes.com/2014/01/10/us/politics/reids-uncompromising-power-play-in-senate-rankles-republicans.html
U.S. Considers Resuming Nonlethal Aid to Syrian Opposition,2014-01-10,https://www.nytimes.com/2014/01/10/world/middleeast/syria-aid-may-resume-despite-fears-over-where-it-will-go.html
Christie’s Apology for the Sins of His Aides and Appointees Leaves Out His Own,2014-01-10,https://www.nytimes.com/2014/01/10/nyregion/christies-apology-for-the-sins-of-his-aides-and-appointees-leaves-out-his-own.html
"A Chilean Dictator’s Secret Book Collection: Heavy on Napoleon, Light on Fiction",2014-01-10,https://www.nytimes.com/2014/01/10/world/americas/a-chilean-dictators-secret-book-collection-heavy-on-napoleon-light-on-fiction.html
Deals Show M.L.S. Is No Longer an Afterthought,2014-01-10,https://www.nytimes.com/2014/01/10/sports/soccer/deals-show-mls-is-no-longer-an-afterthought.html
Falluja’s Fall Stuns Marines Who Fought There,2014-01-10,https://www.nytimes.com/2014/01/10/us/fallujas-fall-stuns-marines-who-fought-there.html
Promising Drug Trial Lifts Stock of Intercept,2014-01-10,https://www.nytimes.com/2014/01/10/business/promising-drug-trial-lifts-stock-of-company.html
Montana: Missile Operators Investigated,2014-01-10,https://www.nytimes.com/2014/01/10/us/montana-missile-operators-investigated.html
Virginia: Search Ends for Sailor,2014-01-10,https://www.nytimes.com/2014/01/10/us/virginia-search-ends-for-sailor.html
Illinois: Chicago Wants Six Months to Revise Rules on Gun Sales,2014-01-10,https://www.nytimes.com/2014/01/10/us/illinois-chicago-wants-six-months-to-revise-rules-on-gun-sales.html
Indiana: Measure Seeks to Put Gay-Marriage Ban in Constitution,2014-01-10,https://www.nytimes.com/2014/01/10/us/indiana-measure-seeks-to-put-gay-marriage-ban-in-constitution.html
Christie Brings His Remorse to an Inconvenienced Borough,2014-01-10,https://www.nytimes.com/2014/01/10/nyregion/christie-brings-his-remorse-to-an-inconvenienced-borough.html
Andrew Luck Is a Fan of Two Types of Football,2014-01-10,https://www.nytimes.com/2014/01/10/sports/football/andrew-luck-is-a-fan-of-two-types-of-football.html
Chemical Spill Fouls Water in West Virginia,2014-01-10,https://www.nytimes.com/2014/01/10/us/chemical-spill-fouls-water-in-w-virginia.html
"Christie’s Apology, Done His Way",2014-01-10,https://www.nytimes.com/2014/01/10/nyregion/christies-apology-done-his-way.html
Police Scrutinize Pensions; 6 More Arraigned in Fraud,2014-01-10,https://www.nytimes.com/2014/01/10/nyregion/six-more-arraigned-in-disability-fraud.html
Delays in Bidding Help Put Focus on Masahiro Tanaka,2014-01-10,https://www.nytimes.com/2014/01/10/sports/baseball/delays-in-bidding-help-put-focus-on-masahiro-tanaka.html
"Among Cuomo’s Proposals, a Tax Break for Renters",2014-01-10,https://www.nytimes.com/2014/01/10/nyregion/among-cuomos-proposals-a-tax-break-for-renters.html
"Taking Responsibility for a Child, Then Raising Five More",2014-01-10,https://www.nytimes.com/2014/01/10/nyregion/taking-responsibility-for-a-child-then-raising-five-more.html
"Winning Lottery Numbers for Jan. 9, 2014",2014-01-10,https://www.nytimes.com/2014/01/10/nyregion/winning-lottery-numbers-for-jan-9-2014.html
Knicks Stun J. R. Smith and Then the Heat,2014-01-10,https://www.nytimes.com/2014/01/10/sports/basketball/j-r-smith-benched-as-knicks-upset-heat.html
"Jogger Found Unconscious in a Park Dies, but Not Before Being Identified",2014-01-10,https://www.nytimes.com/2014/01/10/nyregion/jogger-found-unconscious-in-a-park-dies-but-not-before-being-identified.html
Rally Propels Memphis to Upset of Louisville,2014-01-10,https://www.nytimes.com/2014/01/10/sports/ncaabasketball/college-basketball-roundup.html
"2 Paths to New Jersey Governor’s Office Differed, but Fate Is the Same",2014-01-10,https://www.nytimes.com/2014/01/10/nyregion/2-paths-to-new-jersey-governors-office-differed-but-fate-is-the-same.html
Devils End 3-Game Skid as Schneider Shuts Out Stars,2014-01-10,https://www.nytimes.com/2014/01/10/sports/hockey/nhl-roundup.html
"Signs of Abuse in Toddler’s Death, but Few Warnings",2014-01-10,https://www.nytimes.com/2014/01/10/nyregion/signs-of-abuse-in-toddlers-death-but-few-warnings.html
Rafael Nadal Has Tough Path in Australian Open,2014-01-10,https://www.nytimes.com/2014/01/10/sports/tennis/rafael-nadal-has-tough-path-in-australian-open.html
"Quotation of the Day for Friday, January 10, 2014",2014-01-10,https://www.nytimes.com/2014/01/10/pageoneplus/quotation-of-the-day-for-friday-january-10-2014.html
Patriots’ Response as Teammates Fall: Next!,2014-01-10,https://www.nytimes.com/2014/01/10/sports/football/patriots-response-as-injuries-sideline-teammates-next.html
Hanging Onto Cruz’s Coattails With a Tenuous Grasp,2014-01-10,https://www.nytimes.com/2014/01/10/us/hanging-onto-cruzs-coattails-with-a-tenuous-grasp.html
Prokhorov Will See Different Nets Team in London Than in Brooklyn,2014-01-10,https://www.nytimes.com/2014/01/10/sports/basketball/prokhorov-will-see-different-nets-team-in-london-than-in-brooklyn.html
What’s On Friday,2014-01-10,https://www.nytimes.com/2014/01/10/arts/television/whats-on-friday.html
Indians to Compete as Independents in Sochi,2014-01-10,https://www.nytimes.com/2014/01/10/sports/olympics/indians-to-compete-as-independents-in-sochi.html
Keeping Score While Holding the Cards,2014-01-10,https://www.nytimes.com/2014/01/10/us/keeping-score-while-holding-the-cards.html
Bookshelf: Friends in Fur,2014-01-10,https://www.nytimes.com/slideshow/2014/01/10/books/review/12bookshelf-slides.html
"Paid Notice: Deaths  MCHUGH, ELAINE QUINN",2014-01-10,https://query.nytimes.com/gst/fullpage.html?res=9906E4DA163AF933A25752C0A9629D8B63
"Paid Notice: Deaths  NEY, EDWARD N.",2014-01-10,https://query.nytimes.com/gst/fullpage.html?res=9403E4DA163AF933A25752C0A9629D8B63
Omaha to Host 2015 FIVB Grand Prix,2014-01-10,https://www.nytimes.com/2014/01/10/sports/omaha-to-host-2015-fivb-grand-prix.html
"Paid Notice: Deaths  HERRICK, SUZANNE WHEELER",2014-01-10,https://query.nytimes.com/gst/fullpage.html?res=9E05E4DA163AF933A25752C0A9629D8B63
"Paid Notice: Deaths  WHITE, EDGAR P.E.",2014-01-10,https://query.nytimes.com/gst/fullpage.html?res=9F05E3DA163AF933A25752C0A9629D8B63
Off the Charts: Japanese Economy Shows Life,2014-01-10,https://www.nytimes.com/interactive/2014/01/10/business/Japanese-Economy-Shows-Life.html
"Paid Notice: Deaths  COLLINS, LINDA",2014-01-10,https://query.nytimes.com/gst/fullpage.html?res=9C0CE5DA163AF933A25752C0A9629D8B63
"Paid Notice: Deaths  BERCH, CHARLOTTE",2014-01-10,https://query.nytimes.com/gst/fullpage.html?res=9B03E5DA163AF933A25752C0A9629D8B63
"Paid Notice: Deaths  BURKHARDT, MICHAEL",2014-01-10,https://query.nytimes.com/gst/fullpage.html?res=9402E5DA163AF933A25752C0A9629D8B63
"Paid Notice: Deaths  NATKINS, GLEN (GOLDIE)",2014-01-10,https://query.nytimes.com/gst/fullpage.html?res=9B00E4DA163AF933A25752C0A9629D8B63
"Paid Notice: Memorials  SINGER, DAVID",2014-01-10,https://query.nytimes.com/gst/fullpage.html?res=9B01E3DA163AF933A25752C0A9629D8B63
A Race in One District Draws Focus to Asian Voters,2014-01-10,https://www.nytimes.com/2014/01/10/us/a-race-in-one-district-draws-focus-to-asian-voters.html
Auburn’s Tre Mason to Enter N.F.L. Draft,2014-01-10,https://www.nytimes.com/2014/01/10/sports/ncaafootball/auburns-tre-mason-to-enter-nfl-draft.html
"Paid Notice: Deaths  MARSHALL, MILDRED P.",2014-01-10,https://query.nytimes.com/gst/fullpage.html?res=9807E4DA163AF933A25752C0A9629D8B63
"Paid Notice: Memorials  KAU, NICHOLAS JAMES PETER APRIL 15",2014-01-10,https://query.nytimes.com/gst/fullpage.html?res=9907E3DA163AF933A25752C0A9629D8B63
"Paid Notice: Memorials  MEISTER, BERT",2014-01-10,https://query.nytimes.com/gst/fullpage.html?res=9A06E3DA163AF933A25752C0A9629D8B63
"Paid Notice: Deaths  KESSLER, DONALD P.",2014-01-10,https://query.nytimes.com/gst/fullpage.html?res=9F04E4DA163AF933A25752C0A9629D8B63
Devils and 76ers Are First in U.S. to Team With Online Gambling Firm,2014-01-10,https://www.nytimes.com/2014/01/10/sports/devils-and-76ers-are-first-in-us-to-team-with-online-gambling-firm.html
"Paid Notice: Deaths  CAREY, JOHN (JACK) LEONARD",2014-01-10,https://query.nytimes.com/gst/fullpage.html?res=950DE5DA163AF933A25752C0A9629D8B63
Defending Skating Champions Take Big Lead,2014-01-10,https://www.nytimes.com/2014/01/10/sports/defending-skating-champions-take-big-lead.html
